,PlaylistID,Song,SongURI,PreviewLink,Album,Artist,Genres,BigAlbumArt,SmallAlbumArt,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,TimeSignature
50,5gUZgKtFX3vczXE8fItSxo,In Loving Memory,spotify:track:0T9tbj6zsRKLiUx06sbOWX,https://p.scdn.co/mp3-preview/5e2faafb71b8223d17ce29d11ba1a36f2dca124b?cid=8ea9544c774649e49a2c2e41feb74396,One Day Remains,Alter Bridge,[],https://i.scdn.co/image/ab67616d00001e02bc7ddb77993dd1d8d19c22a2,https://i.scdn.co/image/ab67616d00004851bc7ddb77993dd1d8d19c22a2,0.304,0.637,6,-5.922,1,0.0334,0.00749,6.44e-05,0.216,0.174,140.498,340107,4
51,5gUZgKtFX3vczXE8fItSxo,Ships Of Heaven,spotify:track:4eXtm78zEI4Cu3mWpVzH5V,https://p.scdn.co/mp3-preview/d7251c6e56d94039715477e758c1850f7ed264ff?cid=8ea9544c774649e49a2c2e41feb74396,Greatest Hits,BlackHawk,[],https://i.scdn.co/image/ab67616d00001e026fae569c404702a7324b9562,https://i.scdn.co/image/ab67616d000048516fae569c404702a7324b9562,0.53,0.582,2,-5.034,1,0.0254,0.221,0.0,0.258,0.375,75.132,287370,4
52,5gUZgKtFX3vczXE8fItSxo,To Where You Are,spotify:track:7go4n83IV0OO5Ztd1DlDh2,https://p.scdn.co/mp3-preview/65748a46cd2c7d3691bbc66348b996273dcad180?cid=8ea9544c774649e49a2c2e41feb74396,Josh Groban,Josh Groban,[],https://i.scdn.co/image/ab67616d00001e0248d891c7e318096c9f178f59,https://i.scdn.co/image/ab67616d0000485148d891c7e318096c9f178f59,0.286,0.322,5,-9.288,1,0.0317,0.651,0.000335,0.0994,0.109,124.96,233893,4
53,5gUZgKtFX3vczXE8fItSxo,Angel,spotify:track:3xZMPZQYETEn4hjor3TR1A,https://p.scdn.co/mp3-preview/c04e50c5ed8ac6245d61581376207422bb6e0dcb?cid=8ea9544c774649e49a2c2e41feb74396,Surfacing,Sarah McLachlan,[],https://i.scdn.co/image/ab67616d00001e029469c3ab051994ec802574a6,https://i.scdn.co/image/ab67616d000048519469c3ab051994ec802574a6,0.532,0.0744,1,-16.092,1,0.0355,0.949,1.22e-05,0.106,0.125,117.131,270400,3
54,5gUZgKtFX3vczXE8fItSxo,Forever Young,spotify:track:4S1VYqwfkLit9mKVY3MXoo,https://p.scdn.co/mp3-preview/cc49d97aae2dfd7cda894e37272f8dc5fb47e34a?cid=8ea9544c774649e49a2c2e41feb74396,Forever Young,Alphaville,[],https://i.scdn.co/image/ab67616d00001e024b89690216baf8e04fdd3056,https://i.scdn.co/image/ab67616d000048514b89690216baf8e04fdd3056,0.489,0.483,9,-9.466,0,0.0275,0.42,0.0028,0.236,0.333,136.822,226706,4
55,5gUZgKtFX3vczXE8fItSxo,Bright Eyes,spotify:track:1RXM7Awgwz553cosE3vJsu,https://p.scdn.co/mp3-preview/03eab5b05b01b97667808f2d12e37c86a89a4f25?cid=8ea9544c774649e49a2c2e41feb74396,Garfunkel,Art Garfunkel,[],https://i.scdn.co/image/ab67616d00001e020f445b5b38118ded4b35dd61,https://i.scdn.co/image/ab67616d000048510f445b5b38118ded4b35dd61,0.338,0.182,7,-18.138,1,0.0332,0.745,0.217,0.0873,0.168,113.286,235560,4
56,5gUZgKtFX3vczXE8fItSxo,"Lullabye (Goodnight, My Angel)",spotify:track:2GTC5mupEuJm5HOB76y08J,https://p.scdn.co/mp3-preview/bb8bab7c267c8651ae29cc4174a5df34a40d0ed7?cid=8ea9544c774649e49a2c2e41feb74396,The Essential Billy Joel,Billy Joel,[],https://i.scdn.co/image/ab67616d00001e02649d4f282653ab8be56f447e,https://i.scdn.co/image/ab67616d00004851649d4f282653ab8be56f447e,0.404,0.162,7,-13.853,1,0.0343,0.948,0.0,0.247,0.213,135.242,210440,5
57,5gUZgKtFX3vczXE8fItSxo,Fly,spotify:track:1MQ2QPU5ptTGhqCbCEF6jl,,Falling Into You,Céline Dion,[],https://i.scdn.co/image/ab67616d00001e0258c80c8f4e3e23311906f9c4,https://i.scdn.co/image/ab67616d0000485158c80c8f4e3e23311906f9c4,0.252,0.131,4,-17.202,1,0.0342,0.918,3.13e-05,0.0687,0.0717,88.539,178200,3
58,5gUZgKtFX3vczXE8fItSxo,Held,spotify:track:21WvqntfwSWj2AVRxdhR9j,https://p.scdn.co/mp3-preview/f567d6f9bb05338c6c3ec11cc76a08a734315e19?cid=8ea9544c774649e49a2c2e41feb74396,Awaken,Natalie Grant,[],https://i.scdn.co/image/ab67616d00001e028c4ba12635623dfe8bab6a1b,https://i.scdn.co/image/ab67616d000048518c4ba12635623dfe8bab6a1b,0.574,0.333,3,-9.184,1,0.0269,0.161,0.0,0.113,0.2,97.915,264120,3
59,5gUZgKtFX3vczXE8fItSxo,You'll Be In My Heart,spotify:track:6LBfozDVA7crIeuaPAVVlE,,Tarzan Original Soundtrack,Various Artists,[],https://i.scdn.co/image/ab67616d00001e0214fc66b1e2b2ef5eecabdb49,https://i.scdn.co/image/ab67616d0000485114fc66b1e2b2ef5eecabdb49,0.568,0.746,8,-6.582,1,0.0293,0.0549,3.66e-06,0.0966,0.626,96.626,258147,4
