,PlaylistID,Song,SongURI,PreviewLink,Album,Artist,Genres,BigAlbumArt,SmallAlbumArt,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,TimeSignature
284,1bajQBeCG1mWb1TwtjwZp4,Love Ridden,spotify:track:0eRw1thpWDU7tFt6NfVU4C,https://p.scdn.co/mp3-preview/9c2f241d1b94cbc0e8a7a1e34308c95694dc5024?cid=8ea9544c774649e49a2c2e41feb74396,When The Pawn...,Fiona Apple,[],https://i.scdn.co/image/ab67616d00001e0270622da427271b0203d7ce79,https://i.scdn.co/image/ab67616d0000485170622da427271b0203d7ce79,0.266,0.249,0,-12.908,1,0.0441,0.798,0,0.197,0.086,78.793,202160,4
285,1bajQBeCG1mWb1TwtjwZp4,Have A Great Flight,spotify:track:0bGW3ANNZzJ0O85ce1hRxq,https://p.scdn.co/mp3-preview/21a402f9c8baacdda1278661928c5b3f8f9e6eb4?cid=8ea9544c774649e49a2c2e41feb74396,Love Story,Yelawolf,[],https://i.scdn.co/image/ab67616d00001e0285b51e47b16a87b82c252dc5,https://i.scdn.co/image/ab67616d0000485185b51e47b16a87b82c252dc5,0.695,0.712,9,-7.339,0,0.0393,0.33,0.0296,0.111,0.314,115.002,303133,4
286,1bajQBeCG1mWb1TwtjwZp4,Behind the Wall,spotify:track:00OMaIm4VEsUcXad5Pf1Qe,https://p.scdn.co/mp3-preview/96d7240e66174f0fd643eee567a294e91ac40ea9?cid=8ea9544c774649e49a2c2e41feb74396,Tracy Chapman,Tracy Chapman,[],https://i.scdn.co/image/ab67616d00001e0290b8a540137ee2a718a369f9,https://i.scdn.co/image/ab67616d0000485190b8a540137ee2a718a369f9,0.668,0.0505,5,-18.843,1,0.358,0.807,0,0.107,0.598,148.649,109507,5
287,1bajQBeCG1mWb1TwtjwZp4,Dear Sister,spotify:track:1QfWxQAXmKJHmtoexNQw4B,https://p.scdn.co/mp3-preview/24dc069baf1525a21cfc3147ed167cc834858491?cid=8ea9544c774649e49a2c2e41feb74396,Going To Hell (Deluxe Edition),The Pretty Reckless,[],https://i.scdn.co/image/ab67616d00001e0222a54730f9c6d2ff1eb119d2,https://i.scdn.co/image/ab67616d0000485122a54730f9c6d2ff1eb119d2,0.293,0.37,8,-8.638,0,0.0349,0.664,0.00179,0.105,0.197,143.767,56053,4
288,1bajQBeCG1mWb1TwtjwZp4,Fly To The Angels - 2003 Remaster,spotify:track:3FCS3LSPCOayYntBHWGvzY,,Stick It To Ya,Slaughter,[],https://i.scdn.co/image/ab67616d00001e028539dcc1794e404190998318,https://i.scdn.co/image/ab67616d000048518539dcc1794e404190998318,0.484,0.826,0,-4.757,1,0.0362,0.136,9.73e-05,0.124,0.33,120.027,306600,4
289,1bajQBeCG1mWb1TwtjwZp4,Shelter,spotify:track:5ItLBl4dfYnSlvHYyoFUCs,,Shelter,Dorothy,[],https://i.scdn.co/image/ab67616d00001e02766482cb1eaaabe86a35ad37,https://i.scdn.co/image/ab67616d00004851766482cb1eaaabe86a35ad37,0.568,0.299,4,-9.906,1,0.0309,0.456,0,0.305,0.139,114.359,272655,4
290,1bajQBeCG1mWb1TwtjwZp4,"Vermilion, Pt. 2",spotify:track:0O7lENhqOySbsL743G7PqD,https://p.scdn.co/mp3-preview/5e9e8ecacce3e4d2b64851fd4dfe539fa28091c5?cid=8ea9544c774649e49a2c2e41feb74396,Vol. 3: The Subliminal Verses,Slipknot,[],https://i.scdn.co/image/ab67616d00001e026b3463e7160d333ada4b175a,https://i.scdn.co/image/ab67616d000048516b3463e7160d333ada4b175a,0.589,0.442,4,-8.517,1,0.0291,0.334,0.000424,0.0987,0.0904,122.688,224320,3
291,1bajQBeCG1mWb1TwtjwZp4,Top of the World,spotify:track:5BhjbbmwEbN84EHfzf4SVt,https://p.scdn.co/mp3-preview/626b918ea57dc050a851bbf7ae4b557d8a1853fc?cid=8ea9544c774649e49a2c2e41feb74396,The Essential The Chicks,The Chicks,[],https://i.scdn.co/image/ab67616d00001e0282ce233adeb2913fd1158b13,https://i.scdn.co/image/ab67616d0000485182ce233adeb2913fd1158b13,0.57,0.264,1,-10.293,0,0.0296,0.356,1.53e-06,0.322,0.125,92.089,361173,4
292,1bajQBeCG1mWb1TwtjwZp4,Heaven,spotify:track:1nCUnu693h0S2jzMbYadCq,https://p.scdn.co/mp3-preview/bf419b96904e37ef1fb80cf1cb38e4c1fa398352?cid=8ea9544c774649e49a2c2e41feb74396,Rocking Tall,Warrant,[],https://i.scdn.co/image/ab67616d00001e02f5e6503ec0c1dbaf578d5558,https://i.scdn.co/image/ab67616d00004851f5e6503ec0c1dbaf578d5558,0.468,0.507,6,-10.609,1,0.0278,0.118,0,0.1,0.308,145.701,235800,4
293,1bajQBeCG1mWb1TwtjwZp4,'Til We Die,spotify:track:7bhfCl1a1InaSy8NOWVswk,https://p.scdn.co/mp3-preview/03c452ae81bb94197c66653e5cc5ad7b1d49ebe4?cid=8ea9544c774649e49a2c2e41feb74396,All Hope Is Gone,Slipknot,[],https://i.scdn.co/image/ab67616d00001e02457163bec7e8e4decf8c6375,https://i.scdn.co/image/ab67616d00004851457163bec7e8e4decf8c6375,0.482,0.751,4,-4.993,1,0.0467,0.137,0,0.162,0.521,148.048,345693,3
