,PlaylistName,PlaylistURL,PlaylistID,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
15,Funeral Songs Oldies,https://open.spotify.com/playlist/0cfW3OrUx71hRbsXRs148r,0cfW3OrUx71hRbsXRs148r,Rafael Jimenez,https://open.spotify.com/user/djraafa,22,,False,https://mosaic.scdn.co/640/ab67616d0000b273472b5ee3aba89683b01a06c2ab67616d0000b2734b292ed7c7360a04d3d6b74aab67616d0000b2737a740800cebc8c4e15a34651ab67616d0000b273d1c4c7921ae226655794e035
16,memorial funeral service songs,https://open.spotify.com/playlist/6se0DKePWrjgIpIdTpLCyQ,6se0DKePWrjgIpIdTpLCyQ,bekyw2,https://open.spotify.com/user/bekyw2,410,,False,https://mosaic.scdn.co/640/ab67616d0000b2730841a28ca69a34d2a45e58edab67616d0000b2736eabd7ac8ca69e3e977f6236ab67616d0000b273723376f081b369b02795a7fbab67616d0000b2739e9b35c23db7b4c4250acd5e
17,This Is Funeral Suits,https://open.spotify.com/playlist/37i9dQZF1DZ06evO3CFybm,37i9dQZF1DZ06evO3CFybm,Spotify,https://open.spotify.com/user/spotify,14,"This is Funeral Suits. The essential tracks, all in one playlist.",False,https://thisis-images.scdn.co/37i9dQZF1DZ06evO3CFybm-large.jpg
18,This Is Funeral For A Friend,https://open.spotify.com/playlist/37i9dQZF1DZ06evO2Gwh1O,37i9dQZF1DZ06evO2Gwh1O,Spotify,https://open.spotify.com/user/spotify,50,"This is Funeral For A Friend. The essential tracks, all in one playlist.",False,https://thisis-images.scdn.co/37i9dQZF1DZ06evO2Gwh1O-large.jpg
19,funeral by phoebe bridgers,https://open.spotify.com/playlist/6YvYXqEbp3x5eUaLGtUiYN,6YvYXqEbp3x5eUaLGtUiYN,lauren <3,https://open.spotify.com/user/lol.luv,45,scream crying at 2am,False,https://images-ak.spotifycdn.com/image/ab67706c0000bebb9201be0838f54eeeddf739e3
20,funeral: complete,https://open.spotify.com/playlist/1BvSY69SeQ1Pqx8TAUnHzU,1BvSY69SeQ1Pqx8TAUnHzU,funeral,https://open.spotify.com/user/21reexf7adw5lpxo7eze75qoa,161,,False,https://images-ak.spotifycdn.com/image/ab67706c0000bebbef0fc26f8e2d69ead31b2485
21,Funeral Doom Metal,https://open.spotify.com/playlist/7fybYnZiJ6da88GOmA5V2y,7fybYnZiJ6da88GOmA5V2y,Godrik,https://open.spotify.com/user/rikardjo,807,"For that autumn day, loads of albums from various funeral doom metal bands. \m&#x2F;",False,https://images-ak.spotifycdn.com/image/ab67706c0000bebb29a7196087714925dd2b00fd
22,funeral procession at the seashore,https://open.spotify.com/playlist/3tXHfgaRoPElFjTMVP6dgN,3tXHfgaRoPElFjTMVP6dgN,san,https://open.spotify.com/user/4t4s98x4bp1bmbsv6q51trbde,58,down,False,https://images-ak.spotifycdn.com/image/ab67706c0000bebb2b0df41399202d1c89215514
23,Sad songs for funerals 😢💔,https://open.spotify.com/playlist/4YxGnaIgY0p0GgVLiC4gGe,4YxGnaIgY0p0GgVLiC4gGe,💖Kasey💖,https://open.spotify.com/user/22wnsuefsggzvk4eishu435za,23,Songs to listen to about loved ones who have passed ❤️,False,https://images-ak.spotifycdn.com/image/ab67706c0000bebbf1fb1d17f02a940c9e9d59dc
24,funeral songs,https://open.spotify.com/playlist/7vCqWsStT2Zzv0StoWQvQq,7vCqWsStT2Zzv0StoWQvQq,alyssa.goodwin,https://open.spotify.com/user/goody714,282,,False,https://images-ak.spotifycdn.com/image/ab67706c0000bebb00a62108737a6b47d99b042d
25,funeral: Ryuichi Sakamoto's Last Playlist,https://open.spotify.com/playlist/71r3p2raqhi60iOHmDO5eW,71r3p2raqhi60iOHmDO5eW,bombaysapphire,https://open.spotify.com/user/bombayshappire,33,"33 song-collection devised by RS between 6&#x2F;13&#x2F;22-3&#x2F;23&#x2F;23, to be played on his own funeral to accompany his passing.",False,https://i.scdn.co/image/ab67706c0000bebbafe75456cb9f2797e9d3b71c
26,This Is funeral,https://open.spotify.com/playlist/37i9dQZF1DZ06evO1Stm5r,37i9dQZF1DZ06evO1Stm5r,Spotify,https://open.spotify.com/user/spotify,51,"This is funeral. The essential tracks, all in one playlist.",False,https://thisis-images.scdn.co/37i9dQZF1DZ06evO1Stm5r-large.jpg
27,Memorial Songs for a lost loved one 💔😘,https://open.spotify.com/playlist/0mVRTCfz24RROOJeaic9XL,0mVRTCfz24RROOJeaic9XL,littlelolz28,https://open.spotify.com/user/lollybubs28,114,,False,https://mosaic.scdn.co/640/ab67616d0000b273b4a5b99fbcdc9ae83a7a2126ab67616d0000b273dc30583ba717007b00cceb25ab67616d0000b273e345458751c029f411db3d5bab67616d0000b273f0a6fc4f14ea5c0e794b3a59
28,Funeral Instrumental,https://open.spotify.com/playlist/2fjSGrckkwxeRbVf21cPom,2fjSGrckkwxeRbVf21cPom,legacychapelfh,https://open.spotify.com/user/legacychapelfh,127,,False,https://mosaic.scdn.co/640/ab67616d0000b27344fadbf22b984c04f3a108f5ab67616d0000b2737ff7f0149a3d83cd68b91a98ab67616d0000b273e63b656b78e54672b042e6b4ab67616d0000b273eb471257bea34011873cfd4a
29,The Best Farewell Songs Top 50 Funeral Songs ,https://open.spotify.com/playlist/2H11P9KofhWu9EYUOoqOPm,2H11P9KofhWu9EYUOoqOPm,Holy Grail TV,https://open.spotify.com/user/0j7o0t504vmpypnhxa1db9okn,50,The most popular funeral songs of 2021,False,https://mosaic.scdn.co/640/ab67616d0000b2734ad6e5838f15401ff7d62856ab67616d0000b2734e5df11b17b2727da2b718d8ab67616d0000b27392b320c0a45db23a69e2c366ab67616d0000b273eeebd0a46d8e3493a4f0746e
30,Funeral Doom Metal / Death Doom,https://open.spotify.com/playlist/2lqYnxVJyFXxJNNBGGTG3H,2lqYnxVJyFXxJNNBGGTG3H,Rise to the Sky,https://open.spotify.com/user/22qiln2s76dmynoprq6fowkya,277,Masterpieces of Funeral&#x2F;Death&#x2F;Atmospheric Doom.  Some Melodic&#x2F;Traditional&#x2F;Blackened Doom Metal.  Always adding new stuff!,False,https://images-ak.spotifycdn.com/image/ab67706c0000bebb6d4cec5ffb59d7348093d92c
31,Funeral Bagpipes,https://open.spotify.com/playlist/3Ylw83ZRSN6yvrswxNH5y0,3Ylw83ZRSN6yvrswxNH5y0,madameinsano,https://open.spotify.com/user/madameinsano,6,,False,https://mosaic.scdn.co/640/ab67616d0000b273535b3e7a15f99c4470dde3ffab67616d0000b2736669f261249a46a030d32d23ab67616d0000b2737b96388ff7030cf719c5a95aab67616d0000b273b6fb53af4fb0f4a67557262b
